InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
708434,SKU_1733,USB Cable,47,02/02/2021 10:00:00 PM,88.61,55923.0,Germany,0.37,Bank Transfer,9.59,Electronics,In-store,Not Returned,Royal Mail,Rome,Low
262935,SKU_1313,Office Chair,46,04/06/2024 11:00:00 AM,2.31,26444.0,Italy,0.48,Bank Transfer,23.93,Furniture,In-store,Not Returned,UPS,Amsterdam,Low
173591,SKU_1613,Office Chair,11,19/12/2020 03:00:00 AM,89.36,36642.0,Portugal,0.17,Credit Card,28.16,Furniture,In-store,Returned,FedEx,London,High
565802,SKU_1823,Headphones,5,07/02/2024 12:00:00 AM,29.21,15603.0,Sweden,0.09,Paypall,18.34,Electronics,In-store,Returned,UPS,Amsterdam,High
651928,SKU_1246,Office Chair,44,19/02/2025 03:00:00 PM,62.05,24466.0,Netherlands,0.13,Bank Transfer,15.4,Furniture,Online,Not Returned,Royal Mail,Rome,Low
973332,SKU_1368,Backpack,14,30/01/2020 10:00:00 PM,67.15,91522.0,Germany,0.31,Paypall,7.7,Apparel,In-store,Not Returned,Royal Mail,Paris,Medium
411867,SKU_1766,Backpack,9,24/03/2024 12:00:00 PM,72.61,62566.0,Australia,0.36,Paypall,14.81,Apparel,In-store,Not Returned,UPS,Amsterdam,High
334855,SKU_1988,Wireless Mouse,31,15/06/2024 10:00:00 AM,21.4,65492.0,Netherlands,0.01,Bank Transfer,24.23,Electronics,Online,Not Returned,DHL,Berlin,High
663329,SKU_1812,Backpack,3,23/12/2020 12:00:00 PM,50.28,62967.0,United States,0.34,Bank Transfer,5.77,Apparel,In-store,Not Returned,Royal Mail,London,Low
370246,SKU_1788,White Mug,46,13/02/2025 09:00:00 PM,68.92,35544.0,France,0.38,Credit Card,15.96,Accessories,In-store,Not Returned,UPS,Amsterdam,High
649880,SKU_1271,Blue Pen,48,12/08/2024 05:00:00 AM,82.9,64933.0,Italy,0.33,Bank Transfer,29.22,Stationery,Online,Not Returned,DHL,Berlin,Medium
973212,SKU_1231,Headphones,18,04/05/2024 02:00:00 AM,53.75,38720.0,Australia,0.04,Bank Transfer,21.07,Electronics,In-store,Not Returned,DHL,Berlin,Low
344985,SKU_1339,Notebook,31,15/10/2023 08:00:00 AM,37.54,12431.0,Spain,0.34,Bank Transfer,21.58,Stationery,Online,Not Returned,UPS,Berlin,Medium
669340,SKU_1462,Office Chair,11,23/01/2024 01:00:00 AM,95.17,61901.0,Germany,0.05,Paypall,13.17,Furniture,Online,Not Returned,DHL,Paris,Medium
116944,SKU_1573,Blue Pen,34,26/11/2022 05:00:00 PM,12.2,40019.0,Australia,0.45,Credit Card,20.32,Stationery,In-store,Not Returned,FedEx,Berlin,Low
792566,SKU_1692,Notebook,42,15/09/2023 12:00:00 PM,76.6,15447.0,Netherlands,0.25,Bank Transfer,27.98,Stationery,In-store,Not Returned,UPS,Paris,Low
781342,SKU_1257,Wireless Mouse,18,12/09/2024 06:00:00 PM,52.0,17837.0,Spain,0.29,Paypall,23.9,Electronics,Online,Not Returned,DHL,Rome,Low
448274,SKU_1748,Wireless Mouse,19,29/10/2021 05:00:00 PM,18.39,51519.0,United States,0.39,Bank Transfer,17.74,Electronics,Online,Not Returned,UPS,Amsterdam,High
497819,SKU_1278,Backpack,5,19/11/2020 06:00:00 PM,56.15,80947.0,Australia,0.41,Bank Transfer,27.88,Apparel,In-store,Not Returned,DHL,Rome,High
680915,SKU_1338,Wireless Mouse,30,18/09/2021 08:00:00 PM,88.1,66674.0,Italy,0.49,Paypall,10.07,Electronics,In-store,Not Returned,Royal Mail,Rome,High
392881,SKU_1881,Headphones,40,06/02/2023 01:00:00 AM,70.08,56882.0,Portugal,0.48,Paypall,8.63,Electronics,Online,Not Returned,DHL,Rome,High
832228,SKU_1164,USB Cable,14,25/02/2022 06:00:00 AM,2.1,99680.0,Spain,0.39,Bank Transfer,10.9,Electronics,Online,Not Returned,UPS,London,High
655462,SKU_1068,Office Chair,32,20/04/2022 07:00:00 PM,86.69,10794.0,United Kingdom,0.22,Credit Card,12.12,Furniture,Online,Not Returned,FedEx,Paris,Medium
628107,SKU_1533,Notebook,39,24/06/2025 02:00:00 PM,88.89,69444.0,Germany,0.14,Paypall,6.39,Stationery,In-store,Not Returned,UPS,Berlin,Medium
359757,SKU_1757,Wireless Mouse,14,23/08/2023 03:00:00 AM,96.4,12083.0,United States,0.1,Credit Card,12.95,Electronics,In-store,Not Returned,FedEx,Berlin,High
561079,SKU_1495,Notebook,9,12/01/2020 11:00:00 AM,12.69,75015.0,United Kingdom,0.16,Paypall,10.64,Stationery,In-store,Not Returned,DHL,London,Low
476244,SKU_1388,Office Chair,47,21/05/2022 05:00:00 AM,75.15,34325.0,Belgium,0.14,Credit Card,28.5,Furniture,Online,Not Returned,FedEx,Berlin,Medium
763689,SKU_1811,Office Chair,19,19/05/2020 07:00:00 PM,85.51,58996.0,United States,0.36,Credit Card,24.87,Furniture,In-store,Not Returned,UPS,Rome,Medium
409799,SKU_1972,Desk Lamp,41,06/07/2021 06:00:00 PM,37.12,49970.0,France,0.38,Bank Transfer,8.12,Electronics,Online,Not Returned,DHL,Berlin,Medium
693669,SKU_1121,Office Chair,5,28/05/2022 03:00:00 PM,86.11,11467.0,Netherlands,0.27,Bank Transfer,5.33,Furniture,In-store,Not Returned,UPS,London,High
734410,SKU_1776,Wireless Mouse,39,30/04/2024 03:00:00 PM,12.06,81521.0,France,0.34,Bank Transfer,26.0,Electronics,Online,Not Returned,UPS,Paris,High
261039,SKU_1082,Backpack,39,04/04/2024 04:00:00 PM,23.55,91242.0,Portugal,0.33,Bank Transfer,13.53,Apparel,In-store,Not Returned,UPS,Amsterdam,High
