film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,year
1483,291,21420000,374,0,6,35.62,57272.72727272727,374,1049.9719258843347,2018-01-04,4,2,1,2018
1485,207,20000000,400,0,12,12.82,50000.0,400,3120.1248049922,2018-01-04,4,2,1,2018
1483,499,15760000,160,0,2,40.4,98500.0,160,396.0396039603961,2018-01-04,4,2,1,2018
1483,428,10010000,143,0,2,47.67,70000.0,143,299.9790224459828,2018-01-04,4,2,1,2018
1483,468,10920000,162,0,2,55.1,67407.4074074074,162,294.010889292196,2018-01-04,4,2,1,2018
1483,453,10950000,222,0,5,16.15,49324.32432432433,222,1374.6130030959753,2018-01-04,4,2,1,2018
1483,158,12180000,174,0,8,7.25,70000.0,174,2400.0,2018-01-04,4,2,1,2018
1483,222,15280000,191,0,4,10.59,80000.0,191,1803.5882908404155,2018-01-04,4,2,1,2018
1483,365,15400000,220,0,10,7.09,70000.0,220,3102.9619181946405,2018-01-04,4,2,1,2018
1483,210,16480000,206,0,2,87.29,80000.0,206,235.9949593309657,2018-01-04,4,2,1,2018
1483,338,9120000,117,0,2,23.78,77948.71794871795,117,492.0100925147183,2018-01-04,4,2,1,2018
1483,152,16920000,424,0,2,94.64,39905.660377358494,424,448.0135249366018,2018-01-04,4,2,1,2018
1483,196,17840000,245,0,4,49.0,72816.32653061225,245,500.0,2018-01-04,4,2,1,2018
1483,529,18000000,150,0,2,39.06,120000.0,150,384.0245775729647,2018-01-04,4,2,1,2018
1483,169,18400000,190,0,6,30.6,96842.1052631579,190,620.9150326797386,2018-01-04,4,2,1,2018
1483,456,19860000,257,0,4,61.79,77276.26459143969,257,415.92490694287096,2018-01-04,4,2,1,2018
1483,33,20900000,209,0,6,9.68,100000.0,209,2159.090909090909,2018-01-04,4,2,1,2018
1483,362,9870000,141,0,4,22.1,70000.0,141,638.0090497737556,2018-01-04,4,2,1,2018
1483,159,7700000,110,0,2,17.57,70000.0,110,626.0671599317018,2018-01-04,4,2,1,2018
1483,463,6540000,109,0,1,35.16,60000.0,109,310.0113765642776,2018-01-04,4,2,1,2018
1483,425,6480000,108,0,2,13.5,60000.0,108,800.0,2018-01-04,4,2,1,2018
1483,286,8890000,127,0,2,25.4,70000.0,127,500.0,2018-01-04,4,2,1,2018
1483,168,5900000,59,0,3,14.57,100000.0,59,404.94166094715166,2018-01-04,4,2,1,2018
1483,285,5500000,55,0,6,8.33,100000.0,55,660.2641056422569,2018-01-04,4,2,1,2018
1483,454,3450000,69,0,2,11.5,50000.0,69,600.0,2018-01-04,4,2,1,2018
1483,472,5040000,76,0,2,13.19,66315.78947368421,76,576.194086429113,2018-01-04,4,2,1,2018
1483,531,4560000,76,0,4,23.17,60000.0,76,328.01035822183854,2018-01-04,4,2,1,2018
1483,381,4320000,72,0,4,10.59,60000.0,72,679.8866855524079,2018-01-04,4,2,1,2018
1483,315,3950000,79,0,2,26.33,50000.0,79,300.03797949107485,2018-01-04,4,2,1,2018
1483,464,5520000,69,0,1,19.44,80000.0,69,354.9382716049382,2018-01-04,4,2,1,2018
1483,292,3840000,64,0,4,8.79,60000.0,64,728.1001137656428,2018-01-04,4,2,1,2018
1483,491,9090000,101,0,2,6.31,90000.0,101,1600.633914421553,2018-01-04,4,2,1,2018
1483,253,4760000,68,0,3,23.86,70000.0,68,284.99580888516346,2018-01-04,4,2,1,2018
1483,321,2650000,53,0,1,12.16,50000.0,53,435.8552631578947,2018-01-04,4,2,1,2018
1483,91,30800000,308,0,7,9.76,100000.0,308,3155.7377049180327,2018-01-04,4,2,1,2018
1483,50,30840000,257,0,4,36.1,120000.0,257,711.9113573407202,2018-01-04,4,2,1,2018
1483,451,2150000,43,0,4,9.35,50000.0,43,459.8930481283423,2018-01-04,4,2,1,2018
1483,397,1650000,33,0,3,3.29,50000.0,33,1003.0395136778114,2018-01-04,4,2,1,2018
1483,339,1000000,20,0,4,1.67,50000.0,20,1197.6047904191616,2018-01-04,4,2,1,2018
1483,39,21750000,235,0,3,45.54,92553.1914893617,235,516.0298638559508,2018-01-04,4,2,1,2018
1483,194,29100000,582,0,2,51.41,50000.0,582,1132.0754716981132,2018-01-04,4,2,1,2018
1483,165,21760000,275,0,5,19.67,79127.27272727272,275,1398.0681240467716,2018-01-04,4,2,1,2018
1483,432,2400000,30,0,2,4.92,80000.0,30,609.7560975609756,2018-01-04,4,2,1,2018
1483,142,23000000,232,0,7,67.64,99137.93103448275,232,342.9923122412773,2018-01-04,4,2,1,2018
1483,415,26530000,380,0,2,56.55,69815.78947368421,380,671.9717064544651,2018-01-04,4,2,1,2018
1483,442,28760000,378,0,2,85.52,76084.65608465609,378,442.00187090739007,2018-01-04,4,2,1,2018
1483,175,28800000,480,0,12,8.45,60000.0,480,5680.473372781065,2018-01-04,4,2,1,2018
1483,221,28960000,362,0,3,24.09,80000.0,362,1502.698215026982,2018-01-04,4,2,1,2018
1483,182,22160000,277,0,1,48.77,80000.0,277,567.9721140045109,2018-01-04,4,2,1,2018
1482,144,50160000,627,0,8,20.3,80000.0,627,3088.669950738916,2018-01-04,4,2,1,2018
1483,166,24780000,449,0,4,47.26,55189.30957683742,449,950.0634786288616,2018-01-04,4,2,1,2018
1483,62,8330000,119,0,14,6.01,70000.0,119,1980.0332778702164,2018-01-04,4,2,1,2018
1483,324,2590000,37,0,2,8.98,70000.0,37,412.0267260579064,2018-01-04,4,2,1,2018
1483,164,29120000,416,0,8,26.46,70000.0,416,1572.1844293272864,2018-01-04,4,2,1,2018
1483,312,30960000,387,0,7,59.63,80000.0,387,649.0021801106825,2018-01-04,4,2,1,2018
1483,307,31520000,394,0,4,85.28,80000.0,394,462.0075046904315,2018-01-04,4,2,1,2018
1483,57,31700000,317,0,7,13.32,100000.0,317,2379.87987987988,2018-01-04,4,2,1,2018
