date,daily_sales,daily_tickets,daily_used_tickets,avg_occupancy,unique_films,unique_cinemas
2018-02-21,32030000,267,267,47.76,1,1
2018-02-23,180000,3,3,2.07,1,1
2018-03-14,2202300484,20104,20074,11.4579375,7,51
2018-03-15,4479008974,41274,41241,16.925194805194803,7,76
2018-03-16,5386645987,51761,51685,17.678305084745762,7,99
2018-03-17,3367302992,38026,37994,13.620900900900901,7,115
2018-03-18,3298541496,34424,34322,11.631184573002754,7,126
2018-03-19,3232929498,33078,33020,11.348381962864721,7,129
2018-03-20,259605000,4028,4014,5.481455696202532,7,73
2018-03-21,5901486491,50695,50647,23.086211340206187,7,135
2018-03-22,9916534482,87065,86955,19.826852589641433,7,169
2018-03-23,12527888982,113158,113092,24.67022684310019,7,178
2018-03-24,17358299969,158112,158021,29.649733959311426,7,183
2018-03-25,14290978484,131732,131681,28.242404371584698,7,188
2018-03-26,15081322476,140119,140013,29.556097122302155,7,192
2018-03-27,21319389499,218718,218510,43.83126537785589,7,190
2018-03-28,18384097973,175564,175383,36.181408450704225,7,190
2018-03-29,17991448474,170002,169781,34.507889273356405,7,192
2018-03-30,19260582990,182806,182680,36.28411965811966,7,195
2018-03-31,19175261481,182239,182104,35.476507666098804,7,197
2018-04-01,21054943500,197341,197216,38.77280977312391,7,193
2018-04-02,9515546000,81396,81142,30.263838630806845,7,144
2018-04-03,13271113984,247088,246986,47.64957337883959,7,197
2018-04-04,12364339996,123485,123390,26.56933104631218,7,199
2018-04-05,17000424447,164654,164439,34.29385135135135,7,200
2018-04-06,18017097466,175430,175104,35.759211409395974,7,203
2018-04-07,6555139494,72819,72759,16.869375,7,201
2018-04-08,6357750493,67697,67603,16.363448873483534,7,198
2018-04-09,6716628994,71285,71201,16.91127551020408,7,201
2018-04-10,15166529992,293781,293609,55.01165032679738,7,203
2018-04-11,10357603980,114932,114785,25.95611295681063,7,199
2018-04-12,15589092969,159044,158826,37.413126022913254,7,204
2018-04-13,19760463948,198227,198107,41.257182410423454,7,201
2018-04-14,17076868471,169665,169424,35.58266666666667,7,204
2018-04-15,5872926999,65510,65365,15.630737704918033,7,201
2018-04-16,5558456492,65263,65200,15.817802013422819,7,194
2018-04-17,14165408990,277116,276830,53.41529126213592,7,200
2018-04-18,10502966975,120262,120042,27.748965517241377,8,199
2018-04-19,15503634985,157950,157689,34.39665086887836,8,199
2018-04-20,17143969966,169035,168707,36.306576,8,195
2018-04-21,6312409990,75693,75403,18.327360000000002,8,196
2018-04-22,6124909993,71169,71074,16.869953560371517,8,204
2018-04-23,6179329991,71891,71556,17.06068362480127,8,199
2018-04-24,14682769986,287832,287275,54.23568389057751,8,200
2018-04-25,9541204985,110808,110126,25.509064417177914,8,200
2018-04-26,15248135965,155076,154802,32.82208459214502,8,203
2018-04-27,16165939966,161377,160897,33.684266666666666,8,203
2018-04-28,6048544996,77487,77239,18.410508221225708,8,207
2018-04-29,5880514998,71306,71109,16.970638930163446,8,205
2018-04-30,4879994996,59994,59932,15.867369337979095,7,200
2018-05-01,12767464997,244133,243968,45.75869942196532,8,207
2018-05-02,15439305219,147552,147347,30.808104395604396,14,202
2018-05-03,14267975253,138158,137859,28.7578904109589,14,208
2018-05-04,14782460000,140733,140518,29.315020188425304,14,207
2018-05-05,5160744997,62379,62245,15.349698216735254,14,207
2018-05-06,4885784998,56343,56221,13.635260989010987,14,206
2018-05-07,4945088994,56894,56576,13.879240331491712,14,206
2018-05-08,12224339997,231476,231154,45.29338010204082,14,211
2018-05-09,6954769992,77536,77146,18.6121045751634,14,207
2018-05-10,12111469981,117735,117578,25.576149870801032,14,208
2018-05-11,13925444994,133681,133466,28.412917737789204,14,205
2018-05-12,5071305000,60608,60398,15.361599462365593,14,204
2018-05-13,4777905000,52677,52584,13.186188524590163,14,209
2018-05-14,4311504998,48901,48727,12.823135359116023,13,205
2018-05-15,11551654993,215590,215302,43.35634517766498,14,211
2018-05-16,6722449991,72216,72039,17.49621476510067,14,211
2018-05-17,8227159992,92424,92182,22.078674863387977,14,212
2018-05-18,9881376989,116784,116602,26.65644385026738,14,208
2018-05-19,3983179998,52883,52775,13.232663877266388,14,204
2018-05-20,4081944990,52327,52221,13.534727272727272,14,206
2018-05-21,3931930000,52251,52178,12.739495798319327,14,208
2018-05-22,8897314988,159241,159025,35.84127829560586,14,210
2018-05-23,5436709994,68924,68824,16.96566248256625,15,204
2018-05-24,8200559996,96322,96065,21.806707152496628,15,206
2018-05-25,8600284987,104930,104834,23.191332436069985,15,205
2018-05-26,3638441997,50287,50028,12.757884344146685,15,206
2018-05-27,3467414999,45373,45292,11.871982881597718,15,204
2018-05-28,3522814991,46659,46583,12.08517985611511,15,203
2018-05-29,7313715000,130270,130140,29.62378196500673,15,209
2018-05-30,4182914996,54301,54219,13.584040404040405,15,204
2018-05-31,6329939996,73145,73016,17.851188811188813,15,207
2018-06-01,7275158987,87983,87868,21.159873060648803,15,202
2018-06-02,3476785000,46102,46015,12.610793413173653,15,194
2018-06-03,1080955000,18435,18419,14.147055837563451,15,134
2018-06-05,71400000,1428,1428,96.6375,4,1
2018-06-07,3475384992,40906,40861,14.475494296577946,15,162
2018-06-08,4161084994,48438,48376,14.696479099678456,15,187
2018-06-09,2320559997,31174,31096,8.874851330203443,15,195
2018-06-10,2249234999,29657,29620,8.68911858974359,15,194
2018-06-11,2184359996,29135,29088,8.364968152866242,16,199
2018-06-12,4986375000,89109,88996,22.479898550724638,18,203
2018-06-13,3329234997,43402,43344,11.91620895522388,18,204
2018-06-14,4514695996,52887,52774,13.56433933933934,18,204
2018-06-15,2770535998,26034,25810,7.948391376451078,18,192
2018-06-16,6132539988,55904,55806,13.379151785714287,18,205
2018-06-17,2560324998,26456,26393,7.413617363344052,18,198
2018-06-18,2486669999,25395,25370,7.42115562403698,18,204
2018-06-19,6885634999,127072,126964,29.45570224719101,18,210
2018-06-20,1395420000,16072,15400,5.840104712041885,17,194
2018-06-21,5211629997,47514,47436,12.012297496318116,18,207
2018-06-22,6610534993,59225,59149,15.099037037037037,18,201
2018-06-23,2458610000,27775,27728,8.103744,18,197
2018-06-24,2258259998,23315,23260,7.263152709359606,17,198
2018-06-25,980205000,10742,10060,4.352226487523993,18,177
2018-06-26,5649075993,103368,103310,24.257150997150998,18,210
2018-06-27,2906701994,28569,28502,8.794009146341462,20,202
2018-06-28,6139889988,54194,54102,13.791979913916787,21,207
2018-06-29,7667164992,68344,68257,17.463963068181815,22,209
2018-06-30,2763044998,30960,30893,9.545787878787879,20,203
2018-07-01,2834914996,28217,28173,8.932968515742129,21,210
2018-07-02,2704864998,26768,26718,8.060662739322533,21,208
2018-07-03,8148094996,145928,145764,31.56370517928287,20,216
2018-07-04,5828224984,52890,52765,11.53150289017341,23,211
2018-07-05,9662509981,84677,84580,16.7206940509915,22,208
2018-07-06,11396164998,100201,100072,18.19208275862069,21,208
2018-07-07,5540397993,58243,58114,12.199329359165425,20,205
2018-07-08,2825644988,25727,25665,8.627991886409736,20,159
2018-07-09,13120000,239,239,17.544285714285714,6,4
2018-07-10,10786194995,192812,192637,34.34216735253772,20,206
2018-07-11,6959104995,66224,66135,11.863020030816642,20,202
2018-07-12,12008334977,107183,107074,17.926618497109825,20,209
2018-07-13,15812514981,142586,142409,22.36072857142857,20,208
2018-07-14,6480759976,67503,67409,12.403966049382715,20,205
2018-07-15,5510644991,54132,54054,11.059306451612905,20,200
2018-07-16,6653094991,62433,62357,11.37960876369327,19,205
2018-07-17,13076185989,237871,237448,40.41404255319149,19,211
2018-07-18,8999259980,87295,87173,14.512714723926381,19,207
2018-07-19,13190757991,119164,118965,19.31293768545994,21,211
2018-07-20,16851959987,152974,152765,23.628783382789315,20,215
2018-07-21,7159569982,76194,76087,14.318869426751592,18,208
2018-07-22,6549649998,63337,63269,12.24374203821656,19,210
2018-07-23,6172484993,58526,58421,11.615637254901962,19,211
2018-07-24,13319830996,241204,240989,41.65834074074074,20,217
2018-07-25,8000094991,77161,77006,14.412126623376624,21,211
2018-07-26,12027644995,107303,107109,19.329319620253163,20,210
2018-07-27,14885269983,134072,133884,24.169126984126983,20,208
2018-07-28,6264484991,66451,66291,13.87838550247117,21,207
2018-07-29,5555974987,52871,52755,11.648795986622073,21,207
2018-07-30,5918124988,55868,55742,11.593105802047782,20,206
2018-07-31,13719579997,245972,245099,43.78633333333333,21,211
2018-08-01,8289149995,79706,79574,14.86516393442623,22,211
2018-08-02,11822730988,105001,104786,19.595302325581393,22,212
2018-08-03,15215489991,136647,136201,24.212302936630604,22,209
2018-08-04,6382794992,68980,68746,14.710589198036006,21,202
2018-08-05,5724189989,55486,55382,12.152541254125412,21,205
2018-08-06,5464959990,52949,52842,11.907803660565724,21,202
2018-08-07,13684424998,246260,246044,45.20453149001536,21,210
2018-08-08,7918147990,78209,78066,15.924506369426751,17,208
2018-08-09,11818904985,106050,105854,20.634673046251994,18,210
2018-08-10,14990894987,136444,136245,23.802439024390242,20,214
2018-08-11,5547329992,60613,60454,14.39493006993007,16,196
2018-08-12,5057709998,49482,49333,14.02945299145299,16,202
2018-08-13,5179299994,51325,51205,12.074453507340946,16,210
2018-08-14,13195990000,237251,236975,43.25177469135803,16,216
2018-08-15,7010064996,70360,70250,15.26151515151515,21,213
2018-08-16,10157724991,91990,91791,19.261692789968652,20,214
2018-08-17,13006859983,118680,118455,23.768678955453147,20,214
2018-08-18,4947809996,54845,54747,13.837628524046435,19,204
2018-08-19,4381749995,43027,42975,13.876013628620102,17,205
2018-08-20,4492764993,45664,45544,11.164484374999999,21,210
2018-08-21,10896969987,194225,194002,37.23585227272727,20,215
2018-08-22,10470650988,97523,97338,19.29068493150685,18,209
2018-08-23,8538013991,75412,75276,16.177798165137617,17,212
2018-08-24,10252485988,92444,92245,19.024200298953662,18,212
2018-08-25,3991755995,45191,45093,11.29173076923077,18,210
2018-08-26,3868814995,40022,39910,10.027496062992126,17,212
2018-08-27,3315899998,33097,32985,8.572765273311898,17,212
2018-08-28,10093979999,178864,178662,34.70492371705964,16,219
2018-08-29,4719294994,45969,45831,11.514862385321102,19,209
2018-08-30,8386129996,74497,74368,16.685066864784545,19,213
2018-08-31,9473809990,85167,85021,19.316858877086492,19,209
2018-09-01,3514239995,39044,38997,10.689887820512821,19,204
2018-09-02,3177834999,31772,31634,8.75435064935065,19,208
2018-09-03,3079459999,30761,30704,8.539035947712419,20,207
2018-09-04,9617799998,169217,169032,35.87658605974396,19,220
2018-09-05,3779844998,37626,37523,10.448104265402844,22,208
2018-09-06,6447464996,57472,57318,13.789970930232558,20,211
2018-09-07,8191619996,74011,73866,16.796063675832126,20,212
2018-09-08,3489475000,38807,38625,11.087851622874807,20,205
2018-09-09,3739479991,37741,37688,10.218198757763975,21,208
2018-09-10,3160190000,30908,30851,8.985857142857142,22,203
2018-09-11,5158634999,86099,85950,22.429183006535947,23,198
2018-09-12,2713225000,46787,46711,15.175008976660681,23,198
2018-09-13,2489464996,22306,22241,8.214555984555986,23,189
2018-09-14,2929924999,25720,25645,9.191439393939394,23,187
2018-09-15,1149309998,12325,12262,5.256924731182795,21,175
2018-09-16,1068095000,10624,10602,4.794872389791184,20,165
2018-09-17,877775000,8820,8796,4.3520398009950245,19,149
2018-09-18,536595000,9388,9370,9.258060836501901,18,103
2018-09-21,200000,8,8,2.97,1,1
2018-09-22,16585000,381,381,16.227,5,6
2018-09-23,1024435000,9782,9765,4.352482269503546,20,174
2018-09-24,1045615000,10424,10403,4.270612244897959,20,163
2018-09-25,3272360000,55258,55193,15.212784380305603,23,205
2018-09-26,4574450000,39455,39391,8.983485915492958,24,199
2018-09-27,5604900000,47218,47121,11.871707717569786,25,198
2018-09-28,9523550000,81321,81169,18.153343749999998,26,209
2018-09-29,3206750000,33312,33231,7.956330935251799,25,192
2018-09-30,3180315000,28392,28309,7.071598579040852,25,202
2018-10-01,3387570000,30550,30457,7.719132007233274,23,200
2018-10-02,8477999999,138614,138452,27.05897125567322,25,213
2018-10-03,5234279991,46726,46599,11.355040783034259,26,203
2018-10-04,10453034991,89690,89564,19.067035330261135,25,212
2018-10-05,11283699990,96911,96793,20.68203363914373,25,211
2018-10-06,6588964978,89459,89341,18.630933977455715,25,202
2018-10-07,3768334999,35375,35325,8.839679054054054,21,203
2018-10-08,3599469998,32834,32767,8.951514143094842,22,198
2018-10-09,10796814997,184161,183957,35.61387234042553,24,217
2018-10-10,7495844991,67403,67191,15.108943338437978,25,209
2018-10-11,14213117993,124654,124262,24.905840336134453,25,215
2018-10-12,16759698993,146927,146631,28.77510729613734,24,214
2018-10-13,5023992987,61632,61516,13.297886676875958,23,201
2018-10-14,4032354996,38890,38828,9.835392749244713,23,204
2018-10-15,3916434993,37438,37390,9.816843702579666,21,203
2018-10-16,12657389993,220296,220121,42.47868,22,219
2018-10-17,6567179993,65429,65317,17.200438066465257,19,212
2018-10-18,13288750986,120177,120058,26.427728494623654,22,219
2018-10-19,15350202989,140664,140476,30.134344262295084,23,217
2018-10-20,5718004990,80123,79975,18.491884892086333,21,212
2018-10-21,3630254995,37456,37396,10.460878962536023,19,210
2018-10-22,3636149998,37895,37817,10.337887740029542,17,208
2018-10-23,10545025000,187345,187185,38.5958940397351,20,214
2018-10-24,6085099998,61019,60920,15.706935704514365,22,211
2018-10-25,12051972986,109593,109468,24.77458950201884,23,214
2018-10-26,13109354998,119722,119569,26.71649263721553,23,215
2018-10-27,4930179998,70343,70181,16.71495786516854,21,203
2018-10-28,3341139000,35178,35107,9.845036603221084,21,204
2018-10-29,859461000,9738,9721,8.554655172413794,17,133
2018-10-30,2070000,69,69,12.825,2,1
2018-10-31,4871998000,47644,47585,13.08496251874063,21,206
2018-11-01,9071854998,80694,80563,20.348762446657183,22,212
2018-11-02,9744695000,86748,86585,21.733964757709252,22,199
2018-11-03,3208490000,45485,45452,13.509038142620232,21,177
2018-11-04,682985000,7584,7577,11.469802631578949,15,47
