date,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,film_code,cinema_code,month,quarter,day,year
2018-01-04,21042343500,197215,125,2645,38.77280977312391,91128.76170534037,197090,1017.6250890443698,1483,192,4,2,1,2018
2018-01-05,12767464997,244133,165,2829,45.75869942196532,48409.642188548634,243968,895.7534660666155,1481,207,5,2,1,2018
2018-01-06,7275158987,87983,115,2526,21.159873060648803,70446.98633120173,87868,776.7228235908397,1495,202,6,2,1,2018
2018-01-07,2834914996,28217,44,2510,8.932968515742129,89482.49827407957,28173,828.7438632191648,1498,210,7,3,1,2018
2018-01-08,8289149995,79706,132,2613,14.86516393442623,89803.60751427925,79574,919.4625542222715,1554,211,8,3,1,2018
2018-01-09,3514239995,39044,47,2330,10.689887820512821,84881.7885251025,38997,806.7619909712004,1554,204,9,3,1,2018
2018-01-10,3387570000,30550,93,2295,7.719132007233274,93999.20385383703,30457,908.2459306051442,1559,200,10,4,1,2018
2018-01-11,9060334998,80513,122,2655,20.348762446657183,92264.30407363393,80391,807.785597271015,1572,209,11,4,1,2018
2018-02-04,9506946000,81310,254,1517,30.263838630806845,92400.72282856275,81056,842.8895216877228,1483,143,4,2,2,2018
2018-02-05,15439305219,147552,205,2761,30.808104395604396,87064.17547116001,147347,823.2063177218256,1497,202,5,2,2,2018
2018-02-06,3476785000,46102,87,2418,12.610793413173653,67299.6226465106,46015,796.6812440437935,1482,194,6,2,2,2018
2018-02-07,2704864998,26768,50,2549,8.060662739322533,89983.80343142021,26718,829.3615530416222,1498,208,7,3,2,2018
2018-02-08,11822730988,105001,215,2648,19.595302325581393,92618.19706581839,104786,865.2790611283979,1554,212,8,3,2,2018
2018-02-09,3177834999,31772,138,2285,8.75435064935065,90002.98079519201,31634,802.682859772405,1562,208,9,3,2,2018
2018-02-10,8477999999,138614,162,2678,27.05897125567322,52216.43340839754,138452,858.8143628757182,1572,213,10,4,2,2018
2018-02-11,9740225000,86642,163,2565,21.733964757709252,93509.30633772386,86479,796.1012459189978,1573,197,11,4,2,2018
2018-03-04,13264713984,246960,102,2656,47.64957337883959,50106.67469985706,246858,1000.4913012758976,1480,196,4,2,3,2018
2018-03-05,14267975253,138158,299,2765,28.7578904109589,88831.98673125906,137859,822.5808307825281,1493,208,5,2,3,2018
2018-03-06,1080955000,18435,16,1163,14.147055837563451,57381.40166385236,18419,726.9740894129935,1484,134,6,2,3,2018
