date,daily_sales,daily_tickets,daily_used_tickets,avg_occupancy,unique_films,unique_cinemas,day,month,quarter,year
2018-02-21,32030000,267,267,47.76,1,1,21,2,1,2018
2018-02-23,180000,3,3,2.07,1,1,23,2,1,2018
2018-03-14,2202300484,20104,20074,11.4579375,7,51,14,3,1,2018
2018-03-15,4479008974,41274,41241,16.925194805194803,7,76,15,3,1,2018
2018-03-16,5386645987,51761,51685,17.678305084745762,7,99,16,3,1,2018
2018-03-17,3367302992,38026,37994,13.6209009009009,7,115,17,3,1,2018
2018-03-18,3298541496,34424,34322,11.631184573002754,7,126,18,3,1,2018
2018-03-19,3232929498,33078,33020,11.34838196286472,7,129,19,3,1,2018
2018-03-20,259605000,4028,4014,5.481455696202532,7,73,20,3,1,2018
2018-03-21,5901486491,50695,50647,23.086211340206187,7,135,21,3,1,2018
2018-03-22,9916534482,87065,86955,19.826852589641437,7,169,22,3,1,2018
2018-03-23,12527888982,113158,113092,24.67022684310019,7,178,23,3,1,2018
2018-03-24,17358299969,158112,158021,29.649733959311423,7,183,24,3,1,2018
2018-03-25,14290978484,131732,131681,28.242404371584698,7,188,25,3,1,2018
2018-03-26,15081322476,140119,140013,29.556097122302155,7,192,26,3,1,2018
2018-03-27,21319389499,218718,218510,43.83126537785589,7,190,27,3,1,2018
2018-03-28,18384097973,175564,175383,36.18140845070423,7,190,28,3,1,2018
2018-03-29,17991448474,170002,169781,34.507889273356405,7,192,29,3,1,2018
2018-03-30,19260582990,182806,182680,36.28411965811966,7,195,30,3,1,2018
2018-03-31,19175261481,182239,182104,35.476507666098804,7,197,31,3,1,2018
2018-04-01,21054943500,197341,197216,38.77280977312391,7,193,1,4,2,2018
2018-04-02,9515546000,81396,81142,30.263838630806845,7,144,2,4,2,2018
2018-04-03,13271113984,247088,246986,47.64957337883959,7,197,3,4,2,2018
2018-04-04,12364339996,123485,123390,26.56933104631218,7,199,4,4,2,2018
2018-04-05,17000424447,164654,164439,34.29385135135135,7,200,5,4,2,2018
2018-04-06,18017097466,175430,175104,35.759211409395974,7,203,6,4,2,2018
2018-04-07,6555139494,72819,72759,16.869375,7,201,7,4,2,2018
2018-04-08,6357750493,67697,67603,16.363448873483534,7,198,8,4,2,2018
2018-04-09,6716628994,71285,71201,16.91127551020408,7,201,9,4,2,2018
2018-04-10,15166529992,293781,293609,55.01165032679738,7,203,10,4,2,2018
2018-04-11,10357603980,114932,114785,25.95611295681063,7,199,11,4,2,2018
2018-04-12,15589092969,159044,158826,37.41312602291325,7,204,12,4,2,2018
2018-04-13,19760463948,198227,198107,41.257182410423454,7,201,13,4,2,2018
2018-04-14,17076868471,169665,169424,35.58266666666667,7,204,14,4,2,2018
2018-04-15,5872926999,65510,65365,15.630737704918031,7,201,15,4,2,2018
2018-04-16,5558456492,65263,65200,15.81780201342282,7,194,16,4,2,2018
2018-04-17,14165408990,277116,276830,53.41529126213592,7,200,17,4,2,2018
2018-04-18,10502966975,120262,120042,27.748965517241377,8,199,18,4,2,2018
2018-04-19,15503634985,157950,157689,34.39665086887836,8,199,19,4,2,2018
2018-04-20,17143969966,169035,168707,36.306576,8,195,20,4,2,2018
2018-04-21,6312409990,75693,75403,18.32736,8,196,21,4,2,2018
2018-04-22,6124909993,71169,71074,16.869953560371517,8,204,22,4,2,2018
2018-04-23,6179329991,71891,71556,17.06068362480127,8,199,23,4,2,2018
2018-04-24,14682769986,287832,287275,54.23568389057751,8,200,24,4,2,2018
2018-04-25,9541204985,110808,110126,25.509064417177918,8,200,25,4,2,2018
2018-04-26,15248135965,155076,154802,32.82208459214502,8,203,26,4,2,2018
2018-04-27,16165939966,161377,160897,33.684266666666666,8,203,27,4,2,2018
2018-04-28,6048544996,77487,77239,18.410508221225708,8,207,28,4,2,2018
2018-04-29,5880514998,71306,71109,16.970638930163446,8,205,29,4,2,2018
2018-04-30,4879994996,59994,59932,15.867369337979095,7,200,30,4,2,2018
2018-05-01,12767464997,244133,243968,45.75869942196532,8,207,1,5,2,2018
2018-05-02,15439305219,147552,147347,30.8081043956044,14,202,2,5,2,2018
2018-05-03,14267975253,138158,137859,28.7578904109589,14,208,3,5,2,2018
2018-05-04,14782460000,140733,140518,29.315020188425304,14,207,4,5,2,2018
2018-05-05,5160744997,62379,62245,15.349698216735254,14,207,5,5,2,2018
2018-05-06,4885784998,56343,56221,13.635260989010987,14,206,6,5,2,2018
2018-05-07,4945088994,56894,56576,13.879240331491712,14,206,7,5,2,2018
2018-05-08,12224339997,231476,231154,45.29338010204082,14,211,8,5,2,2018
2018-05-09,6954769992,77536,77146,18.6121045751634,14,207,9,5,2,2018
2018-05-10,12111469981,117735,117578,25.576149870801032,14,208,10,5,2,2018
2018-05-11,13925444994,133681,133466,28.412917737789204,14,205,11,5,2,2018
2018-05-12,5071305000,60608,60398,15.361599462365591,14,204,12,5,2,2018
2018-05-13,4777905000,52677,52584,13.186188524590165,14,209,13,5,2,2018
2018-05-14,4311504998,48901,48727,12.823135359116025,13,205,14,5,2,2018
2018-05-15,11551654993,215590,215302,43.35634517766498,14,211,15,5,2,2018
2018-05-16,6722449991,72216,72039,17.49621476510067,14,211,16,5,2,2018
2018-05-17,8227159992,92424,92182,22.078674863387977,14,212,17,5,2,2018
2018-05-18,9881376989,116784,116602,26.65644385026738,14,208,18,5,2,2018
2018-05-19,3983179998,52883,52775,13.232663877266388,14,204,19,5,2,2018
2018-05-20,4081944990,52327,52221,13.534727272727272,14,206,20,5,2,2018
2018-05-21,3931930000,52251,52178,12.739495798319329,14,208,21,5,2,2018
2018-05-22,8897314988,159241,159025,35.84127829560586,14,210,22,5,2,2018
2018-05-23,5436709994,68924,68824,16.96566248256625,15,204,23,5,2,2018
2018-05-24,8200559996,96322,96065,21.806707152496628,15,206,24,5,2,2018
2018-05-25,8600284987,104930,104834,23.191332436069985,15,205,25,5,2,2018
2018-05-26,3638441997,50287,50028,12.757884344146683,15,206,26,5,2,2018
2018-05-27,3467414999,45373,45292,11.871982881597718,15,204,27,5,2,2018
2018-05-28,3522814991,46659,46583,12.08517985611511,15,203,28,5,2,2018
2018-05-29,7313715000,130270,130140,29.62378196500673,15,209,29,5,2,2018
2018-05-30,4182914996,54301,54219,13.584040404040405,15,204,30,5,2,2018
2018-05-31,6329939996,73145,73016,17.851188811188813,15,207,31,5,2,2018
2018-06-01,7275158987,87983,87868,21.159873060648803,15,202,1,6,2,2018
2018-06-02,3476785000,46102,46015,12.610793413173653,15,194,2,6,2,2018
2018-06-03,1080955000,18435,18419,14.147055837563451,15,134,3,6,2,2018
2018-06-05,71400000,1428,1428,96.6375,4,1,5,6,2,2018
2018-06-07,3475384992,40906,40861,14.475494296577946,15,162,7,6,2,2018
2018-06-08,4161084994,48438,48376,14.696479099678456,15,187,8,6,2,2018
2018-06-09,2320559997,31174,31096,8.874851330203443,15,195,9,6,2,2018
2018-06-10,2249234999,29657,29620,8.68911858974359,15,194,10,6,2,2018
2018-06-11,2184359996,29135,29088,8.364968152866242,16,199,11,6,2,2018
2018-06-12,4986375000,89109,88996,22.47989855072464,18,203,12,6,2,2018
2018-06-13,3329234997,43402,43344,11.91620895522388,18,204,13,6,2,2018
2018-06-14,4514695996,52887,52774,13.56433933933934,18,204,14,6,2,2018
2018-06-15,2770535998,26034,25810,7.948391376451078,18,192,15,6,2,2018
2018-06-16,6132539988,55904,55806,13.379151785714289,18,205,16,6,2,2018
2018-06-17,2560324998,26456,26393,7.413617363344052,18,198,17,6,2,2018
2018-06-18,2486669999,25395,25370,7.42115562403698,18,204,18,6,2,2018
2018-06-19,6885634999,127072,126964,29.45570224719101,18,210,19,6,2,2018
2018-06-20,1395420000,16072,15400,5.840104712041885,17,194,20,6,2,2018
2018-06-21,5211629997,47514,47436,12.012297496318116,18,207,21,6,2,2018
2018-06-22,6610534993,59225,59149,15.099037037037036,18,201,22,6,2,2018
2018-06-23,2458610000,27775,27728,8.103744,18,197,23,6,2,2018
2018-06-24,2258259998,23315,23260,7.263152709359606,17,198,24,6,2,2018
2018-06-25,980205000,10742,10060,4.352226487523993,18,177,25,6,2,2018
